Année,Total_Offres,Evolution_depuis_2010,Taux_Croissance_depuis_2010,Moyenne_5_Dernieres
2010,3262080,0,0.0,
2011,3432530,170450,5.225193741416519,
2012,3025760,-236320,-7.244457524033746,
2013,2667480,-594600,-18.227633902295466,
2014,2564910,-697170,-21.37194673337257,2990552.0
2015,2718220,-543860,-16.672184618402984,2881780.0
2016,2901510,-360570,-11.053376986462625,2775576.0
2017,3395140,133060,4.078992544634098,2849452.0
2018,3370830,108750,3.333762507357269,2990122.0
2019,3285400,23320,0.7148813027270944,3134220.0
2020,2297220,-964860,-29.578060623896405,3050020.0
2021,3336900,74820,2.293628605061801,3137098.0
2022,4055320,793240,24.31700019619384,3269134.0
2023,4018470,756390,23.187352854620364,3398662.0
2024,3663810,401730,12.315148616833431,3474344.0
